Año,Mes,Bodega,Unidad,Linea,Grupo,Subgrupo3,Cod_solo,Codigo,Serie_lote,vencimiento_lote,Descripción,Unidad_Medida_corep,Stock,Stock Pedido,Stock Real,Costo_promedio,Costo Total,Precio Venta,costo ultimo,Fecha Ingreso Lote,stock minimo,stock maximo,alterno,ubicacion,ubicacion2,ubicacion3,fecha_creacion,Dias_inventario,ultima_venta,ultima_compra,Proveedor,und,und_cant1,dias_reposicion,no_pedir,promocion,calificacion_abc,desc_color,porcentaje_iva,Controlado,Notas,und2,und_cant2,und3,und_cant3,und4,und_cant4,Motivo_UIO,Motivo_GYE
2026,2,2021 - MALETÍN TÉCNICOS GYE,CODIFICACION,VIDEOJET,REPUESTOS,,152558,152558,,,Control System Make-up 15-80_+/18-80_+_UHS,Unidad,1.0000,0.0000,1.0000,884.4321,884.43,1818.1900,832.6600,,,,,,,,2025-08-20,5,,2026-02-12 15:00:55.323000,VIDEOJET TECHNOLOGIES INT.,Und,1,,,,,COMPRA EXTERIOR,15.00,NO,,,0E-16,,0E-16,,0E-16,,
2026,2,8001 - TRANSFERENCIAS EN TRÁNSITO,CODIFICACION,VIDEOJET,REPUESTOS,,152558,152558,,,Control System Make-up 15-80_+/18-80_+_UHS,Unidad,2.0000,0.0000,2.0000,884.4321,1768.86,1818.1900,832.6600,,,,,,,,2025-08-20,5,,2026-02-12 15:00:55.323000,VIDEOJET TECHNOLOGIES INT.,Und,1,,,,,COMPRA EXTERIOR,15.00,NO,,,0E-16,,0E-16,,0E-16,,
2026,2,8003 - REMISIONES GUAYAQUIL,CODIFICACION,VIDEOJET,REPUESTOS,,152558,152558,,,Control System Make-up 15-80_+/18-80_+_UHS,Unidad,2.0000,0.0000,2.0000,884.4321,1768.86,1818.1900,832.6600,,,,,,,,2025-08-20,5,2026-01-31 19:01:31,2026-02-12 15:00:55.323000,VIDEOJET TECHNOLOGIES INT.,Und,1,,,,,COMPRA EXTERIOR,15.00,NO,,,0E-16,,0E-16,,0E-16,,
2026,2,8002 - REMISIONES QUITO,CODIFICACION,VIDEOJET,REPUESTOS,,152558,152558,,,Control System Make-up 15-80_+/18-80_+_UHS,Unidad,2.0000,0.0000,2.0000,884.4321,1768.86,1818.1900,832.6600,,,,,,,,2025-08-20,5,2025-11-30 13:24:22,2026-02-12 15:00:55.323000,VIDEOJET TECHNOLOGIES INT.,Und,1,,,,,COMPRA EXTERIOR,15.00,NO,,,0E-16,,0E-16,,0E-16,,
2026,2,8003 - REMISIONES GUAYAQUIL,CODIFICACION,VIDEOJET,REPUESTOS,,152560,152560,,,Touchscreen 15/80_+_C,Unidad,2.0000,0.0000,2.0000,1071.2398,2142.48,2595.1900,988.5000,,,,,,,,2025-08-20,118,2025-11-30 05:28:37,2025-10-22 07:26:35,VIDEOJET TECHNOLOGIES INT.,Und,1,,,,,COMPRA EXTERIOR,15.00,NO,,,0E-16,,0E-16,,0E-16,,
2026,2,1030 - BODEGA DISPONIBLE PARA LA VENTA UIO,CODIFICACION,VIDEOJET,REPUESTOS,,152561,152561,,,Vacuum Electronic Component 15-80_+_C/18-80_+_UHS,Unidad,1.0000,0.0000,1.0000,905.1963,905.20,2085.8700,835.0000,,,,,P37-N04,,,2025-08-20,119,,2025-10-21 10:23:05,VIDEOJET TECHNOLOGIES INT.,Und,1,,,,,COMPRA EXTERIOR,15.00,NO,,,0E-16,,0E-16,,0E-16,,
2026,2,2030 - BODEGA DISPONIBLE PARA LA VENTA GYE,CODIFICACION,VIDEOJET,REPUESTOS,,152564,152564,,,Viscometer Solenoid Valve 15/80_18/80,Unidad,1.0000,0.0000,1.0000,287.5200,287.52,647.0900,262.2400,,0.0000,0.0000,,B1-P57-F5,,,2025-08-20,316,,2025-04-07 08:04:51,VIDEOJET TECHNOLOGIES INT.,Und,1,,,,,COMPRA EXTERIOR,15.00,NO,,,0E-16,,0E-16,,0E-16,,
2026,2,2030 - BODEGA DISPONIBLE PARA LA VENTA GYE,CODIFICACION,VIDEOJET,REPUESTOS,,152568,152568,,,Cabin Filter/ VJ1580_+_C/VJ1880_+_UHS,Unidad,13.0000,0.0000,13.0000,25.8094,335.52,67.0700,24.5660,,2.0000,4.0000,,B1-P58-F3,,,2025-08-20,5,2026-02-10 06:41:34,2026-02-12 15:00:55.323000,VIDEOJET TECHNOLOGIES INT.,Und,1,,,,,COMPRA EXTERIOR,15.00,NO,,,0E-16,,0E-16,,0E-16,,
2026,2,8003 - REMISIONES GUAYAQUIL,CODIFICACION,VIDEOJET,REPUESTOS,,152568,152568,,,Cabin Filter/ VJ1580_+_C/VJ1880_+_UHS,Unidad,9.0000,0.0000,9.0000,25.8094,232.28,67.0700,24.5660,,,,,,,,2025-08-20,5,2026-01-31 19:06:42,2026-02-12 15:00:55.323000,VIDEOJET TECHNOLOGIES INT.,Und,1,,,,,COMPRA EXTERIOR,15.00,NO,,,0E-16,,0E-16,,0E-16,,
2026,2,8002 - REMISIONES QUITO,CODIFICACION,VIDEOJET,REPUESTOS,,152568,152568,,,Cabin Filter/ VJ1580_+_C/VJ1880_+_UHS,Unidad,1.0000,0.0000,1.0000,25.8094,25.81,67.0700,24.5660,,,,,,,,2025-08-20,5,2026-01-31 04:55:56,2026-02-12 15:00:55.323000,VIDEOJET TECHNOLOGIES INT.,Und,1,,,,,COMPRA EXTERIOR,15.00,NO,,,0E-16,,0E-16,,0E-16,,
